Epoch 0    Validation MSELoss: 3.872821e-01    Training MSELoss: 4.045921e-01
Epoch 1    Validation MSELoss: 3.095160e-01    Training MSELoss: 3.253958e-01
Epoch 2    Validation MSELoss: 2.512961e-01    Training MSELoss: 2.636111e-01
Epoch 3    Validation MSELoss: 2.091504e-01    Training MSELoss: 2.177310e-01
Epoch 4    Validation MSELoss: 1.753299e-01    Training MSELoss: 1.824391e-01
Epoch 5    Validation MSELoss: 1.463021e-01    Training MSELoss: 1.534685e-01
Epoch 6    Validation MSELoss: 1.238320e-01    Training MSELoss: 1.300340e-01
Epoch 7    Validation MSELoss: 1.049213e-01    Training MSELoss: 1.104197e-01
Epoch 8    Validation MSELoss: 8.893961e-02    Training MSELoss: 9.371670e-02
Epoch 9    Validation MSELoss: 7.475793e-02    Training MSELoss: 7.894474e-02
Epoch 10    Validation MSELoss: 6.231065e-02    Training MSELoss: 6.603806e-02
Epoch 11    Validation MSELoss: 5.124532e-02    Training MSELoss: 5.526129e-02
Epoch 12    Validation MSELoss: 4.382898e-02    Training MSELoss: 4.677170e-02
Epoch 13    Validation MSELoss: 3.812857e-02    Training MSELoss: 4.078185e-02
Epoch 14    Validation MSELoss: 3.342820e-02    Training MSELoss: 3.588203e-02
Epoch 15    Validation MSELoss: 2.940130e-02    Training MSELoss: 3.181838e-02
Epoch 16    Validation MSELoss: 2.552135e-02    Training MSELoss: 2.778530e-02
Epoch 17    Validation MSELoss: 2.204842e-02    Training MSELoss: 2.412284e-02
Epoch 18    Validation MSELoss: 1.937347e-02    Training MSELoss: 2.126934e-02
Epoch 19    Validation MSELoss: 1.733895e-02    Training MSELoss: 1.897807e-02
Epoch 20    Validation MSELoss: 1.566849e-02    Training MSELoss: 1.724820e-02
Epoch 21    Validation MSELoss: 1.447682e-02    Training MSELoss: 1.598417e-02
Epoch 22    Validation MSELoss: 1.347681e-02    Training MSELoss: 1.486526e-02
Epoch 23    Validation MSELoss: 1.259192e-02    Training MSELoss: 1.404115e-02
Epoch 24    Validation MSELoss: 1.206395e-02    Training MSELoss: 1.332580e-02
Epoch 25    Validation MSELoss: 1.151493e-02    Training MSELoss: 1.271080e-02
Epoch 26    Validation MSELoss: 1.099396e-02    Training MSELoss: 1.230934e-02
Epoch 27    Validation MSELoss: 1.075857e-02    Training MSELoss: 1.180372e-02
Epoch 28    Validation MSELoss: 1.015635e-02    Training MSELoss: 1.143805e-02
Epoch 29    Validation MSELoss: 9.896931e-03    Training MSELoss: 1.109429e-02
Epoch 30    Validation MSELoss: 9.588571e-03    Training MSELoss: 1.071571e-02
Epoch 31    Validation MSELoss: 9.252279e-03    Training MSELoss: 1.049385e-02
Epoch 32    Validation MSELoss: 9.089694e-03    Training MSELoss: 1.015016e-02
Epoch 33    Validation MSELoss: 8.737870e-03    Training MSELoss: 9.919575e-03
Epoch 34    Validation MSELoss: 8.605022e-03    Training MSELoss: 9.607605e-03
Epoch 35    Validation MSELoss: 8.504019e-03    Training MSELoss: 9.471956e-03
Epoch 36    Validation MSELoss: 8.212441e-03    Training MSELoss: 9.275197e-03
Epoch 37    Validation MSELoss: 8.197793e-03    Training MSELoss: 9.073327e-03
Epoch 38    Validation MSELoss: 7.908348e-03    Training MSELoss: 8.969355e-03
Epoch 39    Validation MSELoss: 7.817168e-03    Training MSELoss: 8.868148e-03
Epoch 40    Validation MSELoss: 7.648612e-03    Training MSELoss: 8.763575e-03
Epoch 41    Validation MSELoss: 7.668828e-03    Training MSELoss: 8.576105e-03
Epoch 42    Validation MSELoss: 7.450381e-03    Training MSELoss: 8.495367e-03
Epoch 43    Validation MSELoss: 7.368735e-03    Training MSELoss: 8.348061e-03
Epoch 44    Validation MSELoss: 7.267643e-03    Training MSELoss: 8.303033e-03
Epoch 45    Validation MSELoss: 7.213978e-03    Training MSELoss: 8.084102e-03
Epoch 46    Validation MSELoss: 7.101171e-03    Training MSELoss: 8.040193e-03
Epoch 47    Validation MSELoss: 6.865773e-03    Training MSELoss: 7.871816e-03
Epoch 48    Validation MSELoss: 6.692829e-03    Training MSELoss: 7.783744e-03
Epoch 49    Validation MSELoss: 6.659766e-03    Training MSELoss: 7.595303e-03
Epoch 50    Validation MSELoss: 6.505262e-03    Training MSELoss: 7.523031e-03
Epoch 51    Validation MSELoss: 6.406142e-03    Training MSELoss: 7.509990e-03
Epoch 52    Validation MSELoss: 6.325329e-03    Training MSELoss: 7.324568e-03
Epoch 53    Validation MSELoss: 6.220234e-03    Training MSELoss: 7.302100e-03
Epoch 54    Validation MSELoss: 6.193547e-03    Training MSELoss: 7.305135e-03
Epoch 55    Validation MSELoss: 6.188102e-03    Training MSELoss: 7.183900e-03
Epoch 56    Validation MSELoss: 6.277905e-03    Training MSELoss: 7.199478e-03
Epoch 57    Validation MSELoss: 6.085399e-03    Training MSELoss: 7.151007e-03
Epoch 58    Validation MSELoss: 6.124045e-03    Training MSELoss: 7.016525e-03
Epoch 59    Validation MSELoss: 5.944371e-03    Training MSELoss: 6.956073e-03
Epoch 60    Validation MSELoss: 5.971930e-03    Training MSELoss: 6.969274e-03
Epoch 61    Validation MSELoss: 5.892170e-03    Training MSELoss: 6.919688e-03
Epoch 62    Validation MSELoss: 5.776209e-03    Training MSELoss: 6.814158e-03
Epoch 63    Validation MSELoss: 5.811538e-03    Training MSELoss: 6.837790e-03
Epoch 64    Validation MSELoss: 5.724829e-03    Training MSELoss: 6.739288e-03
Epoch 65    Validation MSELoss: 5.739440e-03    Training MSELoss: 6.737992e-03
Epoch 66    Validation MSELoss: 5.706598e-03    Training MSELoss: 6.719981e-03
Epoch 67    Validation MSELoss: 5.708980e-03    Training MSELoss: 6.634047e-03
Epoch 68    Validation MSELoss: 5.639208e-03    Training MSELoss: 6.651712e-03
Epoch 69    Validation MSELoss: 5.645680e-03    Training MSELoss: 6.685084e-03
Epoch 70    Validation MSELoss: 5.527834e-03    Training MSELoss: 6.515344e-03
Epoch 71    Validation MSELoss: 5.524433e-03    Training MSELoss: 6.548461e-03
Epoch 72    Validation MSELoss: 5.469935e-03    Training MSELoss: 6.525184e-03
Epoch 73    Validation MSELoss: 5.545541e-03    Training MSELoss: 6.506025e-03
Epoch 74    Validation MSELoss: 5.427598e-03    Training MSELoss: 6.482004e-03
Epoch 75    Validation MSELoss: 5.441280e-03    Training MSELoss: 6.467314e-03
Epoch 76    Validation MSELoss: 5.417890e-03    Training MSELoss: 6.374525e-03
Epoch 77    Validation MSELoss: 5.433472e-03    Training MSELoss: 6.411562e-03
