Epoch 0    Validation MSELoss: 7.095876e-05    Training MSELoss: 9.493870e-05
Epoch 1    Validation MSELoss: 7.242212e-05    Training MSELoss: 9.492585e-05
Epoch 2    Validation MSELoss: 7.313845e-05    Training MSELoss: 9.331763e-05
Epoch 3    Validation MSELoss: 7.212725e-05    Training MSELoss: 9.408360e-05
Epoch 4    Validation MSELoss: 7.137709e-05    Training MSELoss: 9.608052e-05
Epoch 5    Validation MSELoss: 7.150880e-05    Training MSELoss: 9.304698e-05
Epoch 6    Validation MSELoss: 7.178043e-05    Training MSELoss: 9.673120e-05
Epoch 7    Validation MSELoss: 7.148748e-05    Training MSELoss: 9.309891e-05
Epoch 8    Validation MSELoss: 7.090595e-05    Training MSELoss: 9.115304e-05
Epoch 9    Validation MSELoss: 7.174842e-05    Training MSELoss: 9.447575e-05
Epoch 10    Validation MSELoss: 7.153679e-05    Training MSELoss: 9.284006e-05
Epoch 11    Validation MSELoss: 7.074852e-05    Training MSELoss: 9.447934e-05
Epoch 12    Validation MSELoss: 7.249057e-05    Training MSELoss: 9.272505e-05
Epoch 13    Validation MSELoss: 7.204717e-05    Training MSELoss: 9.500717e-05
Epoch 14    Validation MSELoss: 7.227020e-05    Training MSELoss: 9.443044e-05
Epoch 15    Validation MSELoss: 6.978888e-05    Training MSELoss: 9.243798e-05
Epoch 16    Validation MSELoss: 7.092684e-05    Training MSELoss: 9.573870e-05
Epoch 17    Validation MSELoss: 7.364985e-05    Training MSELoss: 9.509430e-05
Epoch 18    Validation MSELoss: 7.284658e-05    Training MSELoss: 9.466609e-05
Epoch 19    Validation MSELoss: 7.216316e-05    Training MSELoss: 9.452879e-05
Epoch 20    Validation MSELoss: 7.254647e-05    Training MSELoss: 9.543422e-05
Epoch 21    Validation MSELoss: 7.410898e-05    Training MSELoss: 9.331932e-05
Epoch 22    Validation MSELoss: 7.147423e-05    Training MSELoss: 9.547823e-05
Epoch 23    Validation MSELoss: 7.247209e-05    Training MSELoss: 9.665525e-05
Epoch 24    Validation MSELoss: 7.449726e-05    Training MSELoss: 9.723844e-05
Epoch 25    Validation MSELoss: 7.566695e-05    Training MSELoss: 9.423162e-05
Epoch 26    Validation MSELoss: 7.183482e-05    Training MSELoss: 9.365926e-05
Epoch 27    Validation MSELoss: 7.338347e-05    Training MSELoss: 9.425663e-05
Epoch 28    Validation MSELoss: 7.514057e-05    Training MSELoss: 9.465053e-05
Epoch 29    Validation MSELoss: 7.521099e-05    Training MSELoss: 9.439868e-05
Epoch 30    Validation MSELoss: 7.490696e-05    Training MSELoss: 9.279062e-05
Epoch 31    Validation MSELoss: 7.169114e-05    Training MSELoss: 9.502470e-05
Epoch 32    Validation MSELoss: 8.054362e-05    Training MSELoss: 9.596367e-05
Epoch 33    Validation MSELoss: 7.489005e-05    Training MSELoss: 9.572586e-05
Epoch 34    Validation MSELoss: 7.491774e-05    Training MSELoss: 9.583090e-05
Epoch 35    Validation MSELoss: 7.958400e-05    Training MSELoss: 9.515116e-05
Epoch 36    Validation MSELoss: 7.933793e-05    Training MSELoss: 9.690740e-05
Epoch 37    Validation MSELoss: 7.845739e-05    Training MSELoss: 9.643182e-05
Epoch 38    Validation MSELoss: 7.788789e-05    Training MSELoss: 9.709031e-05
Epoch 39    Validation MSELoss: 7.508745e-05    Training MSELoss: 9.607797e-05
Epoch 40    Validation MSELoss: 8.096881e-05    Training MSELoss: 9.588493e-05
Epoch 41    Validation MSELoss: 7.196027e-05    Training MSELoss: 9.449384e-05
Epoch 42    Validation MSELoss: 7.746918e-05    Training MSELoss: 9.590188e-05
Epoch 43    Validation MSELoss: 7.624150e-05    Training MSELoss: 9.680132e-05
Epoch 44    Validation MSELoss: 8.577192e-05    Training MSELoss: 9.617036e-05
Epoch 45    Validation MSELoss: 7.342895e-05    Training MSELoss: 9.554505e-05
Epoch 46    Validation MSELoss: 7.957746e-05    Training MSELoss: 9.602791e-05
Epoch 47    Validation MSELoss: 7.529921e-05    Training MSELoss: 9.818852e-05
Epoch 48    Validation MSELoss: 7.942192e-05    Training MSELoss: 9.432411e-05
Epoch 49    Validation MSELoss: 7.291578e-05    Training MSELoss: 9.706001e-05
Epoch 50    Validation MSELoss: 6.851941e-05    Training MSELoss: 9.512676e-05
