Epoch 0    Validation MSELoss: 2.404825e+00    Training MSELoss: 2.270441e+00
Epoch 1    Validation MSELoss: 2.332977e+00    Training MSELoss: 2.172779e+00
Epoch 2    Validation MSELoss: 2.130066e+00    Training MSELoss: 2.103074e+00
Epoch 3    Validation MSELoss: 2.062327e+00    Training MSELoss: 2.053272e+00
Epoch 4    Validation MSELoss: 1.990981e+00    Training MSELoss: 2.017108e+00
Epoch 5    Validation MSELoss: 1.940681e+00    Training MSELoss: 1.989745e+00
Epoch 6    Validation MSELoss: 1.919726e+00    Training MSELoss: 1.969573e+00
Epoch 7    Validation MSELoss: 1.906072e+00    Training MSELoss: 1.953903e+00
Epoch 8    Validation MSELoss: 1.898416e+00    Training MSELoss: 1.939660e+00
Epoch 9    Validation MSELoss: 1.888048e+00    Training MSELoss: 1.929412e+00
Epoch 10    Validation MSELoss: 1.888113e+00    Training MSELoss: 1.918592e+00
Epoch 11    Validation MSELoss: 1.882641e+00    Training MSELoss: 1.910211e+00
Epoch 12    Validation MSELoss: 1.879170e+00    Training MSELoss: 1.903245e+00
Epoch 13    Validation MSELoss: 1.874512e+00    Training MSELoss: 1.896079e+00
Epoch 14    Validation MSELoss: 1.869444e+00    Training MSELoss: 1.889556e+00
Epoch 15    Validation MSELoss: 1.865428e+00    Training MSELoss: 1.883584e+00
Epoch 16    Validation MSELoss: 1.859304e+00    Training MSELoss: 1.878314e+00
Epoch 17    Validation MSELoss: 1.853982e+00    Training MSELoss: 1.873209e+00
Epoch 18    Validation MSELoss: 1.845794e+00    Training MSELoss: 1.868618e+00
Epoch 19    Validation MSELoss: 1.845638e+00    Training MSELoss: 1.864148e+00
Epoch 20    Validation MSELoss: 1.842655e+00    Training MSELoss: 1.859635e+00
Epoch 21    Validation MSELoss: 1.835186e+00    Training MSELoss: 1.855325e+00
Epoch 22    Validation MSELoss: 1.835487e+00    Training MSELoss: 1.851005e+00
Epoch 23    Validation MSELoss: 1.827282e+00    Training MSELoss: 1.846498e+00
Epoch 24    Validation MSELoss: 1.823399e+00    Training MSELoss: 1.842531e+00
Epoch 25    Validation MSELoss: 1.824146e+00    Training MSELoss: 1.837925e+00
Epoch 26    Validation MSELoss: 1.817259e+00    Training MSELoss: 1.833588e+00
Epoch 27    Validation MSELoss: 1.807984e+00    Training MSELoss: 1.829444e+00
Epoch 28    Validation MSELoss: 1.804193e+00    Training MSELoss: 1.824812e+00
Epoch 29    Validation MSELoss: 1.796230e+00    Training MSELoss: 1.819318e+00
Epoch 30    Validation MSELoss: 1.792259e+00    Training MSELoss: 1.815118e+00
Epoch 31    Validation MSELoss: 1.785702e+00    Training MSELoss: 1.810440e+00
