Epoch 0    Validation MSELoss: 2.417304e+00    Training MSELoss: 2.425069e+00
Epoch 1    Validation MSELoss: 2.250473e+00    Training MSELoss: 2.258843e+00
Epoch 2    Validation MSELoss: 2.040405e+00    Training MSELoss: 2.051622e+00
Epoch 3    Validation MSELoss: 1.785805e+00    Training MSELoss: 1.800220e+00
Epoch 4    Validation MSELoss: 1.503661e+00    Training MSELoss: 1.517572e+00
Epoch 5    Validation MSELoss: 1.201073e+00    Training MSELoss: 1.209615e+00
Epoch 6    Validation MSELoss: 8.776701e-01    Training MSELoss: 8.903347e-01
Epoch 7    Validation MSELoss: 5.657748e-01    Training MSELoss: 5.809309e-01
Epoch 8    Validation MSELoss: 2.910682e-01    Training MSELoss: 3.065026e-01
Epoch 9    Validation MSELoss: 9.428475e-02    Training MSELoss: 1.025310e-01
Epoch 10    Validation MSELoss: 8.629606e-03    Training MSELoss: 1.058418e-02
Epoch 11    Validation MSELoss: 2.384877e-03    Training MSELoss: 2.934324e-03
Epoch 12    Validation MSELoss: 2.392198e-03    Training MSELoss: 2.790260e-03
Epoch 13    Validation MSELoss: 2.126859e-03    Training MSELoss: 2.683623e-03
Epoch 14    Validation MSELoss: 2.090007e-03    Training MSELoss: 2.576750e-03
Epoch 15    Validation MSELoss: 2.088123e-03    Training MSELoss: 2.540224e-03
Epoch 16    Validation MSELoss: 1.905406e-03    Training MSELoss: 2.435912e-03
Epoch 17    Validation MSELoss: 1.853713e-03    Training MSELoss: 2.388017e-03
Epoch 18    Validation MSELoss: 1.892021e-03    Training MSELoss: 2.274132e-03
Epoch 19    Validation MSELoss: 1.818400e-03    Training MSELoss: 2.143398e-03
Epoch 20    Validation MSELoss: 1.687448e-03    Training MSELoss: 2.049655e-03
Epoch 21    Validation MSELoss: 1.637006e-03    Training MSELoss: 2.016055e-03
Epoch 22    Validation MSELoss: 1.504960e-03    Training MSELoss: 1.945458e-03
Epoch 23    Validation MSELoss: 1.628196e-03    Training MSELoss: 1.877527e-03
Epoch 24    Validation MSELoss: 1.478505e-03    Training MSELoss: 1.825366e-03
Epoch 25    Validation MSELoss: 1.450501e-03    Training MSELoss: 1.785907e-03
Epoch 26    Validation MSELoss: 1.392133e-03    Training MSELoss: 1.734982e-03
Epoch 27    Validation MSELoss: 1.380055e-03    Training MSELoss: 1.618324e-03
Epoch 28    Validation MSELoss: 1.319050e-03    Training MSELoss: 1.588566e-03
Epoch 29    Validation MSELoss: 1.186531e-03    Training MSELoss: 1.641390e-03
