Epoch 0    Validation MSELoss: 7.045898e-02    Training MSELoss: 7.848943e-02
Epoch 1    Validation MSELoss: 2.820881e-02    Training MSELoss: 3.110489e-02
Epoch 2    Validation MSELoss: 1.808977e-02    Training MSELoss: 1.969416e-02
Epoch 3    Validation MSELoss: 1.373891e-02    Training MSELoss: 1.532136e-02
Epoch 4    Validation MSELoss: 1.116380e-02    Training MSELoss: 1.278510e-02
Epoch 5    Validation MSELoss: 9.367587e-03    Training MSELoss: 1.087867e-02
Epoch 6    Validation MSELoss: 8.152840e-03    Training MSELoss: 9.626052e-03
Epoch 7    Validation MSELoss: 7.105624e-03    Training MSELoss: 8.450105e-03
Epoch 8    Validation MSELoss: 6.267736e-03    Training MSELoss: 7.679629e-03
Epoch 9    Validation MSELoss: 5.812442e-03    Training MSELoss: 6.998014e-03
Epoch 10    Validation MSELoss: 5.156621e-03    Training MSELoss: 6.367164e-03
Epoch 11    Validation MSELoss: 4.668602e-03    Training MSELoss: 5.892306e-03
Epoch 12    Validation MSELoss: 4.393476e-03    Training MSELoss: 5.521219e-03
Epoch 13    Validation MSELoss: 3.895858e-03    Training MSELoss: 5.181179e-03
Epoch 14    Validation MSELoss: 3.938810e-03    Training MSELoss: 4.973899e-03
Epoch 15    Validation MSELoss: 3.627894e-03    Training MSELoss: 4.569878e-03
Epoch 16    Validation MSELoss: 3.125906e-03    Training MSELoss: 4.286746e-03
Epoch 17    Validation MSELoss: 3.156710e-03    Training MSELoss: 4.102386e-03
Epoch 18    Validation MSELoss: 2.895623e-03    Training MSELoss: 3.984278e-03
Epoch 19    Validation MSELoss: 3.258136e-03    Training MSELoss: 3.721796e-03
Epoch 20    Validation MSELoss: 2.463382e-03    Training MSELoss: 3.533483e-03
Epoch 21    Validation MSELoss: 2.737517e-03    Training MSELoss: 3.291447e-03
Epoch 22    Validation MSELoss: 2.344401e-03    Training MSELoss: 3.321578e-03
Epoch 23    Validation MSELoss: 2.719474e-03    Training MSELoss: 3.385011e-03
Epoch 24    Validation MSELoss: 2.137296e-03    Training MSELoss: 3.061239e-03
Epoch 25    Validation MSELoss: 2.168792e-03    Training MSELoss: 3.028609e-03
Epoch 26    Validation MSELoss: 2.237804e-03    Training MSELoss: 2.925776e-03
Epoch 27    Validation MSELoss: 2.242333e-03    Training MSELoss: 2.700097e-03
Epoch 28    Validation MSELoss: 2.094869e-03    Training MSELoss: 2.584131e-03
Epoch 29    Validation MSELoss: 1.710994e-03    Training MSELoss: 2.663121e-03
Epoch 30    Validation MSELoss: 2.178274e-03    Training MSELoss: 2.474204e-03
Epoch 31    Validation MSELoss: 1.792501e-03    Training MSELoss: 2.440647e-03
Epoch 32    Validation MSELoss: 1.412394e-03    Training MSELoss: 2.346081e-03
Epoch 33    Validation MSELoss: 1.740109e-03    Training MSELoss: 2.159457e-03
Epoch 34    Validation MSELoss: 1.782969e-03    Training MSELoss: 2.313985e-03
Epoch 35    Validation MSELoss: 1.522539e-03    Training MSELoss: 2.068484e-03
Epoch 36    Validation MSELoss: 1.606803e-03    Training MSELoss: 2.140965e-03
Epoch 37    Validation MSELoss: 1.526162e-03    Training MSELoss: 2.042660e-03
Epoch 38    Validation MSELoss: 1.487374e-03    Training MSELoss: 2.119240e-03
Epoch 39    Validation MSELoss: 1.455996e-03    Training MSELoss: 1.869823e-03
Epoch 40    Validation MSELoss: 1.460565e-03    Training MSELoss: 1.819675e-03
Epoch 41    Validation MSELoss: 1.310154e-03    Training MSELoss: 1.777311e-03
Epoch 42    Validation MSELoss: 1.550005e-03    Training MSELoss: 1.754383e-03
Epoch 43    Validation MSELoss: 1.525755e-03    Training MSELoss: 1.766606e-03
Epoch 44    Validation MSELoss: 1.134028e-03    Training MSELoss: 1.644597e-03
Epoch 45    Validation MSELoss: 1.256336e-03    Training MSELoss: 1.662492e-03
